2026-09-02 20:00:09 | INFO     | src.pipelines.data_ingestion.pipeline | Logging to /Users/milanpeter/Developer/Systematic-Trading-Pipeline/logs/data_ingestion/20260902_200009.log
2026-09-02 20:00:09 | INFO     | src.pipelines.data_ingestion.pipeline | ========================================================================
2026-09-02 20:00:09 | INFO     | src.pipelines.data_ingestion.pipeline | DATA INGESTION PIPELINE
2026-09-02 20:00:09 | INFO     | src.pipelines.data_ingestion.pipeline | ========================================================================
2026-09-02 20:00:09 | INFO     | src.pipelines.data_ingestion.pipeline | [1/1] Preparing market data...
2026-09-02 20:00:09 | INFO     | src.pipelines.data_ingestion.pipeline | Connecting to IBKR at 127.0.0.1:7497 (client id 2)...
2026-09-02 20:00:49 | INFO     | src.pipelines.data_ingestion.pipeline | Disconnected from IBKR.
2026-09-02 20:00:49 | INFO     | src.pipelines.data_ingestion.pipeline | Processing USDJPY...
2026-09-02 20:01:11 | INFO     | src.pipelines.data_ingestion.pipeline | Finished USDJPY: 41,505 H1 bars
2026-09-02 20:01:11 | INFO     | src.pipelines.data_ingestion.pipeline | Processing EURUSD...
2026-09-02 20:01:28 | INFO     | src.pipelines.data_ingestion.pipeline | Finished EURUSD: 41,505 H1 bars
2026-09-02 20:01:28 | INFO     | src.pipelines.data_ingestion.pipeline | Processing GBPUSD...
2026-09-02 20:01:44 | INFO     | src.pipelines.data_ingestion.pipeline | Finished GBPUSD: 41,505 H1 bars
2026-09-02 20:01:44 | INFO     | src.pipelines.data_ingestion.pipeline | Processing AUDUSD...
2026-09-02 20:01:54 | INFO     | src.pipelines.data_ingestion.pipeline | Finished AUDUSD: 41,505 H1 bars
2026-09-02 20:01:54 | INFO     | src.pipelines.data_ingestion.pipeline | Processing XAUUSD...
2026-09-02 20:01:54 | INFO     | src.pipelines.data_ingestion.pipeline | Finished XAUUSD: 39,428 H1 bars
2026-09-02 20:01:54 | INFO     | src.pipelines.data_ingestion.pipeline | Processing XAGUSD...
2026-09-02 20:01:54 | INFO     | src.pipelines.data_ingestion.pipeline | Finished XAGUSD: 39,428 H1 bars
2026-09-02 20:01:54 | INFO     | src.pipelines.data_ingestion.pipeline | Processing VOD...
2026-09-02 20:01:54 | INFO     | src.pipelines.data_ingestion.pipeline | Finished VOD: 15,108 H1 bars
2026-09-02 20:01:54 | INFO     | src.pipelines.data_ingestion.pipeline | Processing SAP...
2026-09-02 20:01:55 | INFO     | src.pipelines.data_ingestion.pipeline | Finished SAP: 15,273 H1 bars
2026-09-02 20:01:55 | INFO     | src.pipelines.data_ingestion.pipeline | Prepared 8 instruments.
2026-09-02 20:01:55 | INFO     | src.pipelines.data_ingestion.pipeline | ========================================================================
2026-09-02 20:01:55 | INFO     | src.pipelines.data_ingestion.pipeline | DATA INGESTION COMPLETED
2026-09-02 20:01:55 | INFO     | src.pipelines.data_ingestion.pipeline | ========================================================================
2026-09-02 20:01:55 | INFO     | src.pipelines.data_ingestion.pipeline | Processed data directory: /Users/milanpeter/Developer/Systematic-Trading-Pipeline/data/processed
2026-09-02 20:01:55 | INFO     | src.pipelines.data_ingestion.pipeline | Data quality directory: /Users/milanpeter/Developer/Systematic-Trading-Pipeline/results/data_quality
