candidate_id,family,symbol,entry_z,exit_z,short_window
volatility_mean_reversion__SAP__entry_z-1p5__exit_z-0p5__short_window-48,volatility_mean_reversion,SAP,1.5,0.5,48
volatility_mean_reversion__SAP__entry_z-2__exit_z-0__short_window-12,volatility_mean_reversion,SAP,2.0,0.0,12
volatility_mean_reversion__SAP__entry_z-2__exit_z-0__short_window-24,volatility_mean_reversion,SAP,2.0,0.0,24
volatility_mean_reversion__SAP__entry_z-2__exit_z-0__short_window-48,volatility_mean_reversion,SAP,2.0,0.0,48
volatility_mean_reversion__SAP__entry_z-2__exit_z-0p5__short_window-12,volatility_mean_reversion,SAP,2.0,0.5,12
volatility_mean_reversion__SAP__entry_z-2__exit_z-0p5__short_window-24,volatility_mean_reversion,SAP,2.0,0.5,24
volatility_mean_reversion__SAP__entry_z-2__exit_z-0p5__short_window-48,volatility_mean_reversion,SAP,2.0,0.5,48
volatility_mean_reversion__USDJPY__entry_z-1p5__exit_z-0__short_window-12,volatility_mean_reversion,USDJPY,1.5,0.0,12
volatility_mean_reversion__USDJPY__entry_z-1p5__exit_z-0__short_window-24,volatility_mean_reversion,USDJPY,1.5,0.0,24
volatility_mean_reversion__USDJPY__entry_z-1p5__exit_z-0__short_window-48,volatility_mean_reversion,USDJPY,1.5,0.0,48
volatility_mean_reversion__USDJPY__entry_z-1p5__exit_z-0p5__short_window-12,volatility_mean_reversion,USDJPY,1.5,0.5,12
volatility_mean_reversion__USDJPY__entry_z-1p5__exit_z-0p5__short_window-24,volatility_mean_reversion,USDJPY,1.5,0.5,24
volatility_mean_reversion__USDJPY__entry_z-1p5__exit_z-0p5__short_window-48,volatility_mean_reversion,USDJPY,1.5,0.5,48
volatility_mean_reversion__USDJPY__entry_z-2__exit_z-0__short_window-12,volatility_mean_reversion,USDJPY,2.0,0.0,12
volatility_mean_reversion__USDJPY__entry_z-2__exit_z-0__short_window-24,volatility_mean_reversion,USDJPY,2.0,0.0,24
volatility_mean_reversion__USDJPY__entry_z-2__exit_z-0__short_window-48,volatility_mean_reversion,USDJPY,2.0,0.0,48
volatility_mean_reversion__USDJPY__entry_z-2__exit_z-0p5__short_window-12,volatility_mean_reversion,USDJPY,2.0,0.5,12
volatility_mean_reversion__USDJPY__entry_z-2__exit_z-0p5__short_window-24,volatility_mean_reversion,USDJPY,2.0,0.5,24
volatility_mean_reversion__USDJPY__entry_z-2__exit_z-0p5__short_window-48,volatility_mean_reversion,USDJPY,2.0,0.5,48
volatility_mean_reversion__VOD__entry_z-1p5__exit_z-0__short_window-12,volatility_mean_reversion,VOD,1.5,0.0,12
volatility_mean_reversion__VOD__entry_z-1p5__exit_z-0__short_window-24,volatility_mean_reversion,VOD,1.5,0.0,24
volatility_mean_reversion__VOD__entry_z-1p5__exit_z-0__short_window-48,volatility_mean_reversion,VOD,1.5,0.0,48
volatility_mean_reversion__VOD__entry_z-1p5__exit_z-0p5__short_window-12,volatility_mean_reversion,VOD,1.5,0.5,12
volatility_mean_reversion__VOD__entry_z-1p5__exit_z-0p5__short_window-24,volatility_mean_reversion,VOD,1.5,0.5,24
volatility_mean_reversion__VOD__entry_z-1p5__exit_z-0p5__short_window-48,volatility_mean_reversion,VOD,1.5,0.5,48
volatility_mean_reversion__VOD__entry_z-2__exit_z-0__short_window-12,volatility_mean_reversion,VOD,2.0,0.0,12
volatility_mean_reversion__VOD__entry_z-2__exit_z-0__short_window-24,volatility_mean_reversion,VOD,2.0,0.0,24
volatility_mean_reversion__VOD__entry_z-2__exit_z-0__short_window-48,volatility_mean_reversion,VOD,2.0,0.0,48
volatility_mean_reversion__VOD__entry_z-2__exit_z-0p5__short_window-12,volatility_mean_reversion,VOD,2.0,0.5,12
volatility_mean_reversion__VOD__entry_z-2__exit_z-0p5__short_window-24,volatility_mean_reversion,VOD,2.0,0.5,24
volatility_mean_reversion__VOD__entry_z-2__exit_z-0p5__short_window-48,volatility_mean_reversion,VOD,2.0,0.5,48
volatility_mean_reversion__XAGUSD__entry_z-1p5__exit_z-0__short_window-12,volatility_mean_reversion,XAGUSD,1.5,0.0,12
volatility_mean_reversion__XAGUSD__entry_z-1p5__exit_z-0__short_window-24,volatility_mean_reversion,XAGUSD,1.5,0.0,24
volatility_mean_reversion__XAGUSD__entry_z-1p5__exit_z-0__short_window-48,volatility_mean_reversion,XAGUSD,1.5,0.0,48
volatility_mean_reversion__XAGUSD__entry_z-1p5__exit_z-0p5__short_window-12,volatility_mean_reversion,XAGUSD,1.5,0.5,12
volatility_mean_reversion__XAGUSD__entry_z-1p5__exit_z-0p5__short_window-24,volatility_mean_reversion,XAGUSD,1.5,0.5,24
